2020-10-29~2020-10-30	podzimní prázdniny
2020-12-23~2021-01-03	vánoční prázdniny
2021-01-29	pololetní prázdniny
2021-02-22~2021-02-28	jarní prázdniny Praha 1–5
2021-04-01	velikonoční prázdniny

2020-01-01	Nový rok
2020-04-10	Velký pátek
2020-04-13	Velikonoční pondělí
2020-05-01	Svátek práce
2020-05-08	Den vítězství
2020-07-05	Den slovanských věrozvěstů Cyrila a Metoděje
2020-07-06	Den upálení mistra Jana Husa
2020-09-28	Den české státnosti
2020-10-28	Den vzniku samostatného československého státu
2020-11-17	Den boje za svobodu a demokracii
2020-12-24	Štědrý den
2020-12-25	1. svátek vánoční
2020-12-26	2. svátek vánoční
2021-01-01	Nový rok
2021-04-02	Velký pátek
2021-04-05	Velikonoční pondělí
2021-05-01	Svátek práce
2021-05-08	Den vítězství
2021-07-05	Den slovanských věrozvěstů Cyrila a Metoděje
2021-07-06	Den upálení mistra Jana Husa
2021-09-28	Den české státnosti
2021-10-28	Den vzniku samostatného československého státu
2021-11-17	Den boje za svobodu a demokracii
2021-12-24	Štědrý den
2021-12-25	1. svátek vánoční
2021-12-26	2. svátek vánoční
